u (cm/s),C_d
25.71425102,1.027792992
25.84767142,1.02174658
25.8472667,1.012664819
26.91692321,1.015756827
27.71852479,1.003696379
27.98536558,0.991603554
28.38603147,0.982546077
28.78723697,0.985597613
28.78791149,1.00073388
29.59086212,1.018945965
29.72414761,1.0098723
31.46373906,1.046304565
31.99944419,1.067527716
23.8419137,1.012543405
23.44030348,1.000410109
21.30058575,0.985144334
21.70125164,0.976086857
24.91089568,1.000499146
24.24217487,0.994404168
23.97411995,0.979251713
23.30512933,0.967102228
23.83962033,0.961080098
24.37424622,0.958085222
25.17733175,0.979324561
25.17706195,0.973270054
25.17665723,0.964188294
25.44363292,0.955122722
26.11194902,0.95213594
26.64711453,0.961250078
26.38000394,0.967288396
26.91449493,0.961266266
27.58375536,0.979470258
26.78188397,0.985476199
26.24739297,0.991498329
26.24766278,0.997552835
30.52574919,0.997811852
30.25782917,0.98568665
29.85621896,0.973553353
29.58910836,0.979591672
29.32145815,0.973520976
29.05326833,0.955341268
28.78561812,0.949270572
27.44844631,0.943135123
25.97704468,0.924882566
25.70925956,0.915784617
25.30764935,0.903651321
21.03104688,0.936692092
22.76901949,0.936797317
31.86224648,0.988811034
32.39714219,0.991870665
32.39646766,0.976734398
31.99526216,0.973682861
31.72720724,0.958530406
32.12800803,0.952500182
31.59297742,0.946413298
33.06343472,0.943475082
32.92974452,0.943466988
34.00007555,0.961695262
34.26799556,0.973820464
34.40195557,0.979883065
34.53578068,0.982918413
33.9985916,0.928395475
30.39017033,0.95542221
29.85500482,0.946308073
30.25580561,0.940277849
29.45406912,0.949311044
29.31997421,0.940221189
29.72064009,0.931163712
30.12130598,0.922106234
30.52237658,0.922130517
31.05700248,0.919135641
31.45807308,0.919159924
31.59122366,0.907059004
31.05646286,0.907026627
30.65566207,0.913056851
32.12584956,0.904064128
28.9186338,0.9341424
29.18574439,0.928104081
29.71983067,0.913000192
30.12049656,0.903942714
29.58587066,0.906937591
29.05110986,0.906905214
29.05151457,0.915986974
28.78440398,0.922025292
