Shields stress,slope (m/m),median grain size (cm),flow depth (cm),density (g/cm3),Re (reported),Re (calculated),Flow velocity(m/s),phi,Incipient Motion
0.025998338,0.019,3.7,8.34,2.647298675,4613.133826,4610.781986,nan,nan,None
0.038913831,0.0335,3.7,7.08,2.647298675,5643.847367,5640.970055,nan,nan,None
0.059435553,0.059,3.7,6.14,2.647298675,6975.035449,6971.479479,nan,nan,None
0.02311729,0.01,3.7,14.09,2.647298675,4350.024714,4347.80701,nan,nan,None
0.022444608,0.01,3.7,13.68,2.647298675,4286.267551,4284.082352,nan,nan,None
0.029171428,0.014,3.7,12.7,2.647298675,4886.54729,4884.05606,nan,nan,None
0.028505637,0.0138,3.7,12.59,2.647298675,4830.461622,4827.998986,nan,nan,None
0.04437486,0.0247,3.7,10.95,2.647298675,6026.86917,6023.796588,nan,nan,None
0.030564371,0.013,3.7,14.33,2.647298675,5001.853864,4999.30385,nan,nan,None
0.015543875,0.006,3.7,15.79,2.647298675,3566.998428,3565.179923,nan,nan,None
0.020239524,0.008,3.7,15.42,2.647298675,4070.271773,4068.196691,nan,nan,None
0.019294488,0.0075,3.7,15.68,2.647298675,3974.110044,3972.083987,nan,nan,None
0.02390482,0.01,3.7,14.57,2.647298675,4423.499715,4421.244553,nan,nan,None
0.03430678,0.015,3.7,13.94,2.647298675,5299.235793,5296.534169,nan,nan,None
0.024748134,0.009,3.7,16.76,2.647298675,4500.849484,4498.554888,nan,nan,None
0.007666113,0.0025,3.7,18.69,2.647298675,2505.018184,2503.741091,nan,nan,None
0.030359286,0.012,3.7,15.42,2.647298675,4985.044479,4982.503034,nan,nan,None
0.04656353,0.03,3.86,9.57,2.597349643,6477.962127,6474.659572,nan,nan,None
0.050180273,0.035,3.86,8.84,2.597349643,6724.840111,6721.411693,nan,nan,None
0.051639944,0.04,3.86,7.96,2.597349643,6821.946951,6818.469027,nan,nan,None
0.057292118,0.045,3.86,7.85,2.597349643,7185.597616,7181.934298,nan,nan,None
0.060981844,0.05,3.86,7.52,2.597349643,7413.370932,7409.591492,nan,nan,None
0.060300664,0.055,3.86,6.76,2.597349643,7371.850192,7368.09192,nan,nan,None
0.065004051,0.06,3.86,6.68,2.597349643,7653.950775,7650.048684,nan,nan,None
0.061565713,0.065,3.86,5.84,2.597349643,7448.77593,7444.97844,nan,nan,None
0.058758045,0.015,1.75,10.95,2.597349643,2221.392194,2220.259698,nan,nan,None
0.075983007,0.02,1.75,10.62,2.597349643,2526.095752,2524.807913,nan,nan,None
0.096946303,0.025,1.75,10.84,2.597349643,2853.364133,2851.909448,nan,nan,None
0.095086079,0.03,1.75,8.86,2.597349643,2825.856087,2824.415426,nan,nan,None
0.089272878,0.035,1.75,7.13,2.597349643,2738.112825,2736.716897,nan,nan,None
0.101167581,0.04,1.75,7.07,2.597349643,2914.823451,2913.337433,nan,nan,None
0.108179196,0.045,1.75,6.72,2.597349643,3014.140176,3012.603525,nan,nan,None
0.090328198,0.05,1.75,5.05,2.597349643,2754.249274,2752.845119,nan,nan,None
0.103099353,0.055,1.75,5.24,2.597349643,2942.520794,2941.020656,nan,nan,None
0.091651819,0.06,1.75,4.27,2.597349643,2774.355533,2772.941128,nan,nan,None
0.056343331,0.03,4.1,12.3,2.597349643,7800.663491,7796.686604,nan,nan,None
0.058251981,0.035,4.1,10.9,2.597349643,7931.688165,7927.64448,nan,nan,None
0.06168755,0.04,4.1,10.1,2.597349643,8162.234032,8158.072812,nan,nan,None
0.059091786,0.045,4.1,8.6,2.597349643,7988.658254,7984.585525,nan,nan,None
0.065810232,0.05,4.1,8.62,2.597349643,8430.571102,8426.273079,nan,nan,None
0.064665043,0.055,4.1,7.7,2.597349643,8356.897352,8352.636889,nan,nan,None
