ID,width (m),grain size (mm),grain sorting coefficient,rho_s (kg/m3),rho (kg/m3),slope,discharge (m3/s), flow velocity (m/s),flow depth (m),Froude number,Reynolds number,Shields stress,dimensionless bedload flux per unit width
1057,1.999,28.7,1,2680,1000,0.0039,3.27078,1.99,0.823,0.75,897481,0.058,0.000297
1058,0.354,5.2,1,2680,1000,0.0227,0.02169,1.02,0.06,1.38,45759,0.145,0.103
1059,0.354,5.2,1,2680,1000,0.00964,0.02169,0.86,0.071,1.1,43730,0.07,0.00896
1060,0.354,5.2,1,2680,1000,0.01267,0.02169,0.92,0.067,1.19,44483,0.087,0.0261
1061,0.354,5.2,1,2680,1000,0.0176,0.02169,1,0.061,1.36,45567,0.112,0.0612
1062,0.354,5.2,1,2680,1000,0.02226,0.02169,1.06,0.058,1.47,46228,0.135,0.105
1063,0.354,5.2,1,2680,1000,0.0112,0.06079,1.26,0.136,1.19,97053,0.146,0.106
1064,0.354,5.2,1,2680,1000,0.00888,0.06079,1.16,0.148,1.07,93673,0.123,0.0616
1065,0.354,5.2,1,2680,1000,0.00623,0.06079,1.07,0.16,0.96,90119,0.09,0.0265
1066,0.354,5.2,1,2680,1000,0.00633,0.06079,1.07,0.16,0.96,90199,0.092,0.0265
1067,0.354,5.2,1,2680,1000,0.00467,0.06082,0.98,0.175,0.86,86396,0.072,0.00938
1068,0.35,5.2,1,2680,1000,0.00319,0.06082,0.88,0.198,0.74,81510,0.052,0.000813
1069,0.354,5.2,1,2680,1000,0.00329,0.06082,0.88,0.195,0.74,81729,0.054,0.000804
